Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Actual Date of Completion
(Orignal/Target DoC)
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
,Department of Telecommunications,,,,,
,Telecommunication,,,,,
1,"354 Uncovered Villages Scheme
(Department of Telecommunications [DoT])
701600","Multi-States (Bihar,
Gujarat, Himachal
Pradesh, Jammu and
Kashmir, Ladakh,
Rajasthan, Uttar
Pradesh)","12/2019
(04/2020)","NA
(10/2021)
(08/2025)","336.89
(301.13)",246.04
,Total (1),,,,336.89,246.04
,Ministry of Housing & Urban Affairs,,,,,
,Urban Public Transport,,,,,
2,"Ahmedabad Metro Rail Project, Phase-II
(Gujarat Metro Rail Corporation Limited [GMRCL])
702631",Gujarat,"03/2019
(03/2019)","NA
(03/2024)
(12/2025)","5384.17
(-)",5358.41
3,"Delhi-Ghaziabad-Meerut Regional Rapid Transit System [RRTS] corridor
(National Capital Region Transport Corporation [NCRTC])
702633","Multi-States (Delhi, Uttar
Pradesh)","03/2019
(03/2019)","02/2026
(06/2025)
(02/2026)","30274
(30274)",27950.13
,Total (2),,,,35658.17,33308.54
,Ministry of Labour and Employment,,,,,
,Healthcare,,,,,
4,"C/o Construction of 200 bedded [Up-gradable to 300 bedded] ESI Hospital at
Surat Gujarat.
(Employee's State Insurance Company [ESIC])
612185",Gujarat,"06/2019
(03/2021)","NA
(06/2025)
(01/2026)","209.36
(-)",202.62
,Total (1),,,,209.36,202.62
,Ministry of Petroleum & Natural Gas,,,,,
,Energy Storage,,,,,
5,"Construction of Aviation Fuel farm Facilities at Bhogapuram Airport
(Ministry of Petroleum & Natural Gas)
616235",Andhra Pradesh,"08/2024
(08/2024)","03/2026
(03/2026)
(03/2026)","240
(240)",152.91
6,"Grass root POL Terminal at Vallur, Chennai
(Indian Oil Corporation Limited [IOCL])
400077",Tamil Nadu,"01/2022
(01/2022)","03/2026
(12/2024)
(03/2026)","827
(887.71)",661.1
,Total (2),,,,1067,814.01
,Oil & Gas,,,,,
7,"City Gas Distribution Project at Kurnool, Guntur & Prakasam Districts
(MinistryofPetroleumNaturalGas)
709766",Andhra Pradesh,"03/2022
(03/2022)","03/2026
(03/2030)
(03/2026)","1420
(1420)",171.55
8,"Part Replacement Pipeline Project [PRPP]
(Oil and Natural Gas Corporation Limited [ONGC])
709846",Maharashtra,"11/2022
(11/2022)","03/2026
(05/2024)
(03/2026)","1219.48
(1145.1)",833.21
9,"Upgradation of Facilities of Numaligarh-Siliguri Product Pipeline [NSPL] for
transportation of additional products from existing 1.72 MMTPA to 5.5 MMTPA
(Ministry of Petroleum & Natural Gas)
701350","Multi-States (Assam,
West Bengal)","06/2021
(06/2021)","03/2026
(12/2024)
(03/2026)","860
(750)",639.43
,Total (3),,,,3499.48,1644.19
,"Ministry of Ports, Shipping and Waterways",,,,,
,Shipping,,,,,
10,"Construction of oil jetty No.8 at old kandla through internal resources
(Deendayal Port Trust [DPT])
701568",Gujarat,"02/2018
(02/2021)","03/2024
(02/2023)
(07/2024)","100
(225.85)",186.47
11,"Berth No. 2 [previously Berth 3] of HDC Mechanization Project
(Haldia Dock Complex, Syama Prasad Mookerjee Port Authority)
701576",West Bengal,"11/2022
(03/2023)","01/2026
(09/2025)
(01/2026)","298.26
(298.26)",480
,Total (2),,,,398.26,666.47
,Ministry of Power,,,,,
,Electricity Generation,,,,,
12,"Tehri Pumped Storage Plant Project [4x250 MW]
(THDC India Limited)
602193",Uttarakhand,"07/2006
(06/2011)","04/2026
(06/2022)
(04/2026)","4825.6
(8339)",8267.03
,Total (1),,,,4825.6,8267.03
,Transmission & Distribution,,,,,
13,"Augmentation of 1x1500 MVA 3rd 765/400 kV transformation capacity at Kurnool
New Substation
(Power Grid Corporation of India Limited [POWERGRID])
612856",Andhra Pradesh,"05/2023
(12/2023)","03/2026
(09/2025)
(03/2026)","163.61
(-)",163.61
,Total (1),,,,163.61,163.61
,Ministry of Railways,,,,,
,Railways,,,,,
14,"Katni - Bina Third Railway Line [279 km]
(West Central Railway WCR I)
705651",Madhya Pradesh,"06/2016
(01/2017)","03/2026
(03/2022)
(02/2026)","2478.23
(4127.23)",3368.11
15,"Hotgi-Kudgi-Gadag Doubling Project
(South Western Railway [SWR] - II)
705662","Multi-States (Karnataka,
Maharashtra)","04/2014
(01/2016)","03/2026
(12/2024)
(03/2026)","1878
(2459)",2771.29
,Total (2),,,,4356.23,6139.4
,Ministry of Road Transport & Highways,,,,,
,Roads & Highways,,,,,
16,"6L Standalone Flyovers at Bongaigaon, Chapaguri, Pathsala, Simlaguri chowk
and Baihata Bypass Junctions on stretches of NH-31 and NH-27
(National Highways Authority of India [NHAI])
618575",Assam,"03/2022
(01/2023)","NA
(07/2024)
(02/2026)","457.72
(412.15)",371.63
