Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
625,"Pirpainti - Jasidih [100.52 Km] New BG line
(Eastern Railway [ER] - I)
(705385)","Multi-States
(Bihar, Jharkhand)","03/2014
(03/2022)","03/2028
(03/2028)","2555
(2555)",767.04,48
626,"NER Provision of Automatic Block Signalling on Gorakhpur Cantt[Excl] Chhapra
Gramin & Burhwal Jn [Excl] Sitapur Jn section of high density routes
(North Eastern Railway [NER])
(611669)","Multi-States
(Bihar, Uttar
Pradesh)","NA
(06/2023)","03/2027
(-)","380.47
(380.47)",24.53,0
627,"Gorakhpur-Valmikinagar Doubling project
(NER)
(617224)","Multi-States
(Bihar, Uttar
Pradesh)","NA
(03/2024)","12/2027
(-)","1120
(1120)",204.59,20
628,"Chhapra-Ballia Patch Doubling
(North Eastern Railway [NER])
(705562)","Multi-States
(Bihar, Uttar
Pradesh)","03/2013
(11/2015)","02/2025
(03/2025)","963
(1046)",911.66,95
629,"Katihar - Kumedpur Doubling Line Project
(GM/C/ NFR)
(706844)","Multi-States
(Bihar, West
Bengal)","08/2022
()","08/2027
(08/2027)","942
(942)",356,45
630,"Rajnandgaon - Nagpur [Kalumna] Third Railway Line [228.30 km]
(South East Central Railway [SECR] - II)
(705617)","Multi-States
(Chhattisgarh,
Maharashtra)","09/2016
(12/2016)","12/2024
(06/2026)","3545
(3545)",3428.26,95
631,"Jagdalpur-Koraput
(East Coast Railway [ECoR] - II)
(705511)","Multi-States
(Chhattisgarh,
Odisha)","12/2015
(03/2016)","03/2024
(12/2026)","1547
(1547)",1323.05,90
632,"Jharsuguda-Bilaspur Fourth Railway Line [206 km]
(SECR)
(705616)","Multi-States
(Chhattisgarh,
Odisha)","09/2016
(09/2016)","10/2024
(12/2025)","2140
(2979)",2143.64,89
633,"Mumbai-Ahmedabad High Speed Rail Project- 508 km
(National High Speed Rail Corporation [NHSRC])
(705728)","Multi-States
(Dadra & Nagar
Haveli and Daman
& Diu, Gujarat,
Maharashtra)","03/2015
(09/2017)","08/2027
(12/2029)","108000
(108000)",79918.89,53
634,"New Delhi- Mumbai Speed Booster[160Kmph] Project
(PCE/WR)
(705793)","Multi-States (Delhi,
Gujarat, Madhya
Pradesh,
Maharashtra,
Rajasthan)","NA
(09/2019)","03/2024
(-)","6806.44
(6806.44)",135.65,0
635,"Hospet - Tinaighat - Vasco Rail Doubling Project
(RVNL - II)
(705650)","Multi-States (Goa,
Karnataka)","03/2010
(07/2012)","03/2027
(12/2027)","5060
(5060)",5007.82,86
636,"Hospet-Hubli-Vasco da Gama Line Electrification Project
(RVNL)
(706950)","Multi-States (Goa,
Karnataka)","NA
(05/2018)","03/2023
(03/2024)","744.49
(1122.62)",969.05,95
637,"Western Dedicated Freight Corridor
(DFCCIL)
(705237)","Multi-States
(Gujarat, Haryana,
Maharashtra,
Rajasthan, Uttar
Pradesh)","02/2008
(01/2012)","03/2022
(12/2025)","51101
(124005)",124623,96
638,"New line Dahod-Indore via Sardarpur, Jabuwa and Dhar
(Western Railway [WR] - II)
(705453)","Multi-States
(Gujarat, Madhya
Pradesh)","06/2012
(06/2012)","02/2027
(02/2027)","456.07
(1873.1)",3412.33,46
639,"Chhota Udaipur - Dhar New Line Project [157 km]
(Western Railway [WR] - II)
(705454)","Multi-States
(Gujarat, Madhya
Pradesh)","11/2008
(01/2014)","12/2025
(12/2025)","1794
(1794)",1804.05,80
640,"MUMBAI CENTRAL VIRAR VADODARA AHMEDABAAD TRAIN PROTECTION
SYSTEM 500 RKM
(Western Railway)
(611452)","Multi-States
(Gujarat,
Maharashtra)","09/2019
(03/2023)","12/2025
(06/2025)","311
(311)",208,92
641,"Taranga Hill-Abu Road via Ambaji
(North Western Railway [NWR])
(400022)","Multi-States
(Gujarat,
Rajasthan)","07/2022
(07/2022)","07/2030
(07/2030)","2798
(2798)",1915.38,15
642,"LUNI- SAMDARI- BHILDI DOUBLING
(North Western Railway [NWR])
(616842)","Multi-States
(Gujarat,
Rajasthan)","02/2024
(02/2024)","07/2027
(-)","3085.59
(3085.59)",171.32,7
643,"Chandigarh-Baddi New Rail Line- 36 km
(Northen Railway [NR])
(705424)","Multi-States
(Haryana,
Himachal Pradesh)","02/2018
(02/2018)","12/2026
(12/2026)","1540
(1540.13)",506.73,31
644,"Rewari - Kathuwas Doubling Project [27.72 Km]
(North Western Railway [NWR])
(611861)","Multi-States
(Haryana,
Rajasthan)","02/2023
(12/2022)","06/2027
(06/2027)","352
(352)",246.11,63
645,"Nangal Dam-Talwara New Broad Gauge Line [84 KM] and Taking Over Siding
Mukerian-Talwara [29 KM]
(Northen Railway [NR])
(705410)","Multi-States
(Himachal
Pradesh, Punjab)","03/1983
(05/1985)","12/2025
(01/2027)","2018
(2018)",2053.9,45
646,"Bhanupalli-Bilaspur-Beri New Railway Line Project
(RVNL - II)
(705428)","Multi-States
(Himachal
Pradesh, Punjab)","03/2009
(04/2015)","12/2026
(12/2027)","13447
(13447)",6805.81,60
647,"Doubling of Hatia [Ranchi]-Bondamunda Rail Line - 159 km
(South Eastern Railway - JH)
(705628)","Multi-States
(Jharkhand,
Odisha)","03/2016
(02/2017)","06/2025
(06/2026)","3029
(3029)",2470.12,85
648,"Buramara-Chakulia new line [59.96 km]
(South Eastern Railway [SER] - I)
(616588)","Multi-States
(Jharkhand,
Odisha, West
Bengal)","08/2024
(12/2024)","12/2029
(-)","1459.13
(1459.13)",2.11,0
649,"Chandil - Anara - Damodar - 3rd line [121.26 km]
(CAO/C/SER)
(616227)","Multi-States
(Jharkhand, West
Bengal)","NA
(07/2025)","09/2029
(-)","1932.01
(1932.01)",0.03,0
