Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
206,"Construction of 2-Laning with Paved Shoulder of New Greenfield Alignment From
Helipad near Menla at Km 82000 to Menla at Km 94030 of Rhenock-Menla Spur
NH-717B Package-IIIB on EPC Basis under SARDP-NE Phase 'A' in the State of
Sikkim.
(NHIDCL)
(618447)",Sikkim,"01/2021
(02/2021)","02/2024
(05/2026)","410.6
(379.3)",0,81.83
207,"Construction & Upgradation of existing road to 2-lane with paved shoulder from
New Rolep Bridge at km 37.600 to Chochenpheri at km 52.00 in the section of
Rongli to Chochenpheri of NH 717B Pkg-II C
(NHIDCL)
(618446)",Sikkim,"10/2020
(05/2021)","05/2024
(06/2026)","493.42
(478.79)",0,77.07
208,"Realignment of NH-717A from Design Ch.0.00 Km 77.800 of NH-10 to Design
Ch.2.00 Km 3.100 of NH-717A with two lane paved shoulder including Major
Bridge of 680 m in the State of Sikkim on EPC Mode-COS work
(NHIDCL)
(618428)",Sikkim,"01/2021
(04/2021)","04/2023
(04/2026)","264.84
(380.94)",61.11,97.57
209,"Construction/Up gradation of Existing road to 2 Lane with Paved Shoulder
including Geometric Improvement from Ranipool to Pakyong Balance work from
Km 2.000 to 16.167 of NH-717-A on EPC basis under SARDP-NE Phase A in the
State of Sikkim
(NHIDCL)
(618426)",Sikkim,"03/2018
(01/2023)","07/2024
(04/2026)","264.84
(380.94)",0,85.15
210,"Construction of two lane with paved shoulder Gangtok Bypass Road from
Ranipool to Burtuk Ch 0.00 Km to 23.316 L23.316 Km in the State of Sikkim
(MoRTH)
(618071)",Sikkim,"10/2021
(05/2022)","05/2024
(06/2026)","385.15
(342.89)",0,90
211,"Improvement and Widening to 2-lane with paved shoulder of road from design
Km 36.000 Rangamati to design Km 72.000 Pati Chhari Total length 36.000 Km
on Teliamura to Harina section of NH 208 in the state of Tripura on EPC mode
under JICA ODA Loan Phase VI Package-3
(NHIDCL)
(618368)",Tripura,"01/2024
(09/2024)","09/2026
(09/2026)","670.9
(670.9)",0,12.1
212,"Improvement and Widening to 2-lane with paved shoulder of road from existing
Km 438.170 Khowai Chowmuhani to existing Km 439.410 South Pulinpur of NH-
08 and from design Km 0.000 South Pulinpur to design Km 36.00 near
Rangamati of NH 208 on Khowai Teliamura- Harina section Total length 37.24 in
the state of Tripura on EPC mode under JICA ODA Loan Phase VI Package-2
(NHIDCL)
(618369)",Tripura,"01/2024
(09/2024)","09/2026
(09/2026)","657.21
(657.21)",0,54.9
213,"Improvement and Widening to 2-lane with paved shoulder of road from design
Km 72.000 Pati Chhari to design Km 107.654 Harina Total length 35.654 Km on
Teliamura to Harina section of NH 208 in the state of Tripura on EPC mode under
JICA ODA Loan Phase VI Package-4
(NHIDCL)
(618367)",Tripura,"01/2024
(12/2024)","12/2026
(12/2026)","726.9
(726.9)",194.74,8.05
214,"Improvement and Widening to 2-lane with paved shoulder of road from Km
101.300 to km 127.319 Total Length 26.019 Km i.e. the Khowai Teliamura-
Amarpur-Harina-Sabroom section of NH 208 in the state of Tripura on EPC under
JICA ODA Loan Phase VI Package-1
(NHIDCL)
(618370)",Tripura,"01/2024
(07/2024)","07/2026
(12/2026)","431.78
(431.78)",0,55.12
215,"Rehabilitation and up-gradation of road from design km 25.250 to km 36.460
Total lengh 11.210 km of Kailashahar-Kurti Bridge section on NH-208A to 2-lane
with paved shoulder on EPC basis under NHO Package-III- Balance Work
(NHIDCL)
(618385)",Tripura,"02/2020
(09/2024)","03/2026
(03/2026)","174.43
(174.43)",0,41.9
216,"Improvement & widening of existing NH-08 to 4-lane with Paved Shoulder from
Champak Nagar to Khayerpur section design Km 242500 to Km 261610 in the
state of Tripura on EPC basis under NHO-NE
(NHIDCL)
(618350)",Tripura,"12/2023
(09/2024)","09/2026
(03/2027)","920.66
(920.66)",0,43.8
217,"Rehabilitation & Upgradation of Road from Km 0.00 to Km 18.600 Total length-
18.600 km of Kumarghat-Kailashahar section on NH-208 to 2-lane with Paved
shoulder on EPC bais under NHO
(NHIDCL)
(618386)",Tripura,"02/2020
(07/2020)","01/2022
(10/2024)","277.5
(302.03)",0,0
218,"Construction of 4-Lane with paved shoulder Agartala bypass Western side, length
25.402 km connecting NH-8 near Amtali to NH-108B near Lembuchhera in the
state of Tripura on EPC basis under NHO-NE
(NHIDCL)
(618417)",Tripura,"03/2023
(03/2024)","03/2027
(-)","2026.05
(2026.05)",0,0
