Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Actual Date of Completion
(Orignal/Target DoC)
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
,Ministry of Coal,,,,,
,Electricity Generation,,,,,
1,"300 MW SPP part of 510 MW CPSU scheme
(NLC India Limited [NLCIL])
612819",Rajasthan,"07/2022
(03/2023)","01/2026
(09/2024)
(01/2026)","1813
(1813)",1753.07
2,"50 MW Solar PP Minedout Area
(NLC India Limited [NLCIL])
615327",Tamil Nadu,"08/2023
(02/2024)","01/2026
(03/2025)
(01/2026)","218.03
(-)",170.13
3,"Ghatampur Thermal Power Plant 3 X 660 MW
(NLC India Limited [NLCIL])
400259",Uttar Pradesh,"07/2016
(08/2016)","06/2026
(11/2020)
(06/2026)","17237.8
(21780.9)",21287.24
,Total (3),,,,19268.83,23210.44
,Ministry of Housing & Urban Affairs,,,,,
,Urban Public Transport,,,,,
4,"Ahmedabad Metro Rail Project [Phase-I]
(Gujarat Metro Rail Corporation Limited [GMRCL])
702639",Gujarat,"11/2014
(02/2015)","05/2026
(03/2018)
(05/2026)","10773
(12924.5)",12521.43
,Total (1),,,,10773,12521.43
,Waste & Water,,,,,
5,"Mira-Bhayandar Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
702840",Maharashtra,"11/2016
(08/2018)","06/2026
(03/2023)
(06/2026)","204.55
(-)",193.2
6,"Solapur Sewerage Management Infrastructure Project
(Ministry of Housing & Urban Affairs)
702854",Maharashtra,"03/2017
(04/2018)","06/2026
(03/2023)
(06/2026)","180.24
(-)",172.22
,Total (2),,,,384.79,365.42
,Ministry of Labour and Employment,,,,,
,Healthcare,,,,,
7,"Construction of 200 bedded ESIC Hospital with 62 Nos Staff quarters , Beltola
(Employee's State Insurance Company [ESIC])
612201",Assam,"12/2017
(10/2021)","05/2026
(04/2025)
(06/2026)","143.23
(154.75)",130.08
8,"Construction of 200 Bedded [Upgradable to 500 Bedded including 50 beds of
SST] ESIC Hospital at Bibewadi, Pune
(Employee's State Insurance Company [ESIC])
612188",Maharashtra,"05/2018
(03/2023)","NA
(09/2025)
(08/2026)","429.25
(-)",341.9
,Total (2),,,,572.48,471.98
,Ministry of Petroleum & Natural Gas,,,,,
,Oil & Gas,,,,,
9,"Guwahati Refinery Expansion [1.0 to 1.2 MMTPA] along with installation of CRU,
Guwahati Refinery
(Ministry of Petroleum & Natural Gas)
607701",Assam,"05/2021
(05/2021)","05/2026
(10/2023)
(05/2026)","412.3
(577)",487.31
10,"CGD Project in Banka, Dumka, Godda, Jamtara, Pakur, Sahibganj GA ID 11A.02
(Hindustan Petroleum Corporation Limited)
709757","Multi-States (Bihar,
Jharkhand)","06/2022
(06/2022)","05/2026
(06/2030)
(05/2026)","1377
(1377)",377.51
11,"Mumbai Nagpur Jharsuguda Pipeline Project
(Ministry of Petroleum & Natural Gas)
701354","Multi-States
(Chhattisgarh, Madhya
Pradesh, Maharashtra,
Odisha)","06/2020
(06/2020)","05/2026
(05/2023)
(06/2026)","7844.25
(8255)",7109.3
12,"CGD Project in Malda, Birbhum, Murshidabad, Dakshin Dinajpur GA ID 11A.03
(Hindustan Petroleum Corporation Limited)
709758",West Bengal,"06/2022
(06/2022)","05/2026
(06/2030)
(05/2026)","2628
(2628)",390.91
,Total (4),,,,12261.55,8365.03
,Ministry of Power,,,,,
,Transmission & Distribution,,,,,
13,"Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B
(Power Grid Corporation of India Limited [POWERGRID])
400005","Multi-States (Dadra &
Nagar Haveli and
Daman & Diu, Gujarat,
Maharashtra)","01/2022
(07/2022)","05/2026
(06/2023)
(05/2026)","4546.26
(-)",4546.26
14,"Transmission System for Evacuation of Power from REZ in Rajasthan 20GW
under Phase III- Part E2
(Power Grid Corporation of India Limited [POWERGRID])
611947",Rajasthan,"11/2023
(11/2023)","05/2026
(06/2025)
(06/2026)","428.3
(-)",428.3
,Total (2),,,,4974.56,4974.56
,Ministry of Road Transport & Highways,,,,,
,Roads & Highways,,,,,
15,"4L of Dwarka-Khambaliya-Devariya section from km 203.500 to km 176.500 and
from km 171.800 to km 125.000 of NH-151A
(National Highways Authority of India [NHAI])
619137",Gujarat,"01/2019
(02/2020)","NA
(08/2022)
(05/2026)","1024.69
(1753.95)",885.64
16,"Tumkur-Chitradurga
(National Highways Authority of India [NHAI])
619070",Karnataka,"04/2010
(06/2011)","NA
(12/2013)
(05/2026)","839
(47.44)",8.42
,Total (2),,,,1863.69,894.06
