Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
501,"Malugur- Palasamudram New Line Project [17.975 Km]
(South Western Railway [SWR] - II)
(611615)",Andhra Pradesh,"09/2022
(07/2026)","11/2027
(12/2027)","342
(342)",0,0
502,"GOOTY-PENDEKALLU DOUBLING 29.225 Km
(South Central Railway [SCR] - II)
(611752)",Andhra Pradesh,"03/2023
(06/2023)","03/2027
(03/2027)","351.83
(351.83)",18,25
503,"GUNTAKAL WEST-MALLAPPA GATE RAIL OVER RAIL - ROR TRACK
(South Central Railway [SCR] - II)
(611754)",Andhra Pradesh,"07/2023
(07/2023)","07/2026
(-)","293.3
(293.3)",0,0
504,"Kurnool - Setting up facilities for coach midlife rehabilitation workshop
(WPO/Patna)
(611927)",Andhra Pradesh,"01/2014
(10/2017)","12/2023
(-)","560.72
(560.72)",276.66,65
505,"Flyover between Pendurthi and Simhachalam North to avoid surface crossing at
Simhachalam 7.135 km PB 73 of 2023 24 NR
(East Coast Railway [ECoR] - II)
(612827)",Andhra Pradesh,"04/2023
(05/2024)","04/2027
(-)","183.65
(183.65)",5.11,11
506,"3rd & 4th line between Vadlapudi -Gate Jn. cabin and Tie line between Gate Junction
to Gangavaram port
(East Coast Railway [ECoR] - II)
(616697)",Andhra Pradesh,"04/2023
(03/2024)","06/2026
(-)","154.28
(154.28)",20.15,21
507,"Tiupati Katpadi 104.39 kms
(South Central Railway [SCR] - II)
(617210)",Andhra Pradesh,"04/2025
(04/2025)","03/2029
(-)","1215.56
(1215.56)",0.1,0
508,"3rd Line between Gudur Renigunta 83.17 Km
(South Central Railway [SCR] - II)
(617216)",Andhra Pradesh,"10/2024
(10/2024)","03/2027
(-)","877.34
(877.34)",23.35,0
509,"Kurnool Coach Midlife Rehabilitation Project
(WPO/Patna)
(705253)",Andhra Pradesh,"05/2016
(07/2014)","12/2020
(-)","563
(563)",120,0
510,"Kotapalli - Narasapur New Line
(South Central Railway [SCR] - II)
(705436)",Andhra Pradesh,"03/2009
(09/2013)","03/2028
(03/2028)","2501
(2501)",1318.88,29
511,"Guntur-Guntakal Doubling Project
(South Central Railway [SCR] - II)
(705633)",Andhra Pradesh,"03/2017
(11/2017)","12/2025
(12/2026)","3733
(4295)",4475.84,93
512,"Vijaywada-Gudur 3rd Line
(RVNL - II)
(705648)",Andhra Pradesh,"08/2016
(04/2018)","11/2024
(12/2025)","6654
(6654)",5922,90
513,"Penukonda - Dharmavaram Doubling Project [41.5 Km]
(South Western Railway [SWR] - II)
(705789)",Andhra Pradesh,"06/2018
(12/2018)","03/2026
(03/2026)","307.66
(307.66)",259.52,65
514,"Doubling of New Bonggigaon to Kamakhya via Goalpara - 176 km
(Northeast Frontier Railway [NFR])
(705572)",Assam,"09/2016
(09/2016)","03/2026
(03/2026)","4060
(4961)",3727.78,93
515,"Guwahati-Dibrugarh via Tinsukia & Simaluguri-Dibrugarh
(Central Organisation for Railway Electrification [CORE])
(706922)",Assam,"09/2020
(09/2018)","09/2020
(06/2024)","890.36
(889.36)",391.73,89
516,"Mariani-Jorhat, Tinsukia-Dangri and Makum -TirapTrack Electrification Project
(GM/C/ NFR)
(706940)",Assam,"09/2018
(01/2022)","05/2024
(-)","183.99
(183.99)",0,0
517,"Harmuty-Murkongselek Branch Line Electrification Project
(GM/C/ NFR)
(706942)",Assam,"09/2018
(01/2022)","05/2024
(-)","237.52
(237.52)",0,0
518,"Sakri -Hasanpur [via Harnagar - Kusheshwar Asthan] New Railway line
(East Central Railway [ECR] - I)
(400254)",Bihar,"12/2023
(08/1997)","12/2024
(03/2027)","735.2
(735.2)",588.66,84
519,"Construction of Bulb line at Nabinagar Ankorah of East Central Railway
(East Central Railway [ECR] - I)
(617231)",Bihar,"06/2024
(06/2024)","06/2028
(-)","611.74
(611.74)",0,0
520,"Jhajha-Batai New Line Project
(East Central Railway [ECR] - I)
(617373)",Bihar,"03/2023
(03/2023)","03/2027
(-)","588.18
(588.18)",3.05,0
521,"Khagaria-Kusheshwar Asthan [42Km] new line project
(East Central Railway [ECR] - I)
(705364)",Bihar,"04/2019
(12/1998)","12/2024
(03/2027)","614
(1384)",487.99,55
522,"Hajipur-Sagauli New line
(East Central Railway [ECR] - I)
(705366)",Bihar,"10/2007
(10/2004)","03/2020
(12/2026)","2067
(2087)",2013.82,74
523,"Araria Supaul New BG Line
(East Central Railway [ECR] - I)
(705368)",Bihar,"06/2018
(03/2009)","03/2024
(01/2027)","1605
(2514)",1547.96,35
