Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Actual Date of Completion
(Orignal/Target DoC)
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
,Department of Higher Education,,,,,
,Education,,,,,
1,"Additional Infrastructure at IISc Bangalore-RCC Monolithic for Men Hostel S14,
Women Hostel S11 , Postdoctoral Hostel S12 2 Block , International Hostel S 12 ,
D&E Block S 12 2 Block FR.
(IISC Bangalore)
610940",Karnataka,"08/2021
(08/2021)","12/2025
(03/2024)
(12/2025)","420.41
(420.41)",367.92
2,"Hostel 4 -Earlier Known as Hostel 20
(Indian Institute of Technology, Bombay)
612135",Maharashtra,"09/2022
(12/2023)","12/2025
(09/2025)
(12/2025)","182.33
(-)",178.17
,Total (2),,,,602.74,546.09
,Department of Telecommunications,,,,,
,Telecommunication,,,,,
3,"OPTICAL TRANSPORT NETWORK [OTN] PH-4 IN BSNL
(BSNL)
709858",PAN India,"02/2024
(02/2024)","10/2025
(08/2025)
(10/2025)","810.99
(-)",786.86
,Total (1),,,,810.99,786.86
,Ministry of Civil Aviation,,,,,
,Aviation & Aviation Infrastructure,,,,,
4,"Construction of New Terminal Building, Second Link Taxi Track, Apron
Expansion, and associated works at Prayagraj Airport- On Design & Build Basis.
(Airport Authority of India [AAI])
612063",Uttar Pradesh,(08/2023),"10/2025
(11/2024)
(10/2025)","219.18
(274.38)",215.51
,Total (1),,,,219.18,215.51
,Ministry of Coal,,,,,
,Coal,,,,,
5,"CHHAL OC SEAM III [6 MTY]
(South Eastern Coalfields Limited [SECL])
400145",Chhattisgarh,"12/2013
(12/2013)","12/2025
(03/2022)
(01/2026)","610.63
(-)",583.26
,Total (1),,,,610.63,583.26
,Ministry of Housing & Urban Affairs,,,,,
,Waste & Water,,,,,
6,"Nagpur Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
702842",Maharashtra,"12/2015
(08/2018)","01/2026
(03/2023)
(01/2026)","273.78
(271.86)",267.57
,Total (1),,,,273.78,267.57
,Ministry of Labour and Employment,,,,,
,Healthcare,,,,,
7,"Construction of 100 bedded ESIC Hospital & 32 nos. of Staff qtrs at OMPURA
J&K.
(Employee's State Insurance Company [ESIC])
612239",Jammu and Kashmir,"09/2019
(12/2021)","12/2025
(09/2024)
(12/2025)","131.05
(164.93)",162.05
,Total (1),,,,131.05,162.05
,Ministry of Petroleum & Natural Gas,,,,,
,Oil & Gas,,,,,
8,"Debottlenecking and Augmentation of Cryogenic facilities at Uran LPG Import
Terminal
(Department of Water Resources, River Development & GR)
400158",Maharashtra,"04/2021
(04/2021)","12/2025
(02/2024)
(12/2025)","1164.69
(1629.86)",1048.74
9,"Construction of lube oil blending plant at Rasayani
(Ministry of Petroleum & Natural Gas)
610985",Maharashtra,"05/2022
(05/2022)","12/2025
(12/2023)
(12/2025)","423.39
(526.26)",333.48
,Total (2),,,,1588.08,1382.22
,Ministry of Power,,,,,
,Electricity Generation,,,,,
10,"BIKANER SOLAR POWER PROJECT
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
709748",Rajasthan,"10/2021
(05/2022)","12/2025
(04/2024)
(12/2025)","5491.89
(-)",5523.11
11,"Khurja super Thermal Power Plant [2X660 MW]
(THDC India Limited)
602194",Uttar Pradesh,"03/2019
(08/2019)","09/2025
(02/2024)
(09/2025)","11089.42
(13276.2)",12888.23
,Total (2),,,,16581.31,18411.34
,Transmission & Distribution,,,,,
12,"Transmission system strengthening scheme for evacuation of power from solar
energy zones in Rajasthan[8.1 GW] under phase-II- Part E
(Power Grid Corporation of India Limited [POWERGRID])
611659",Rajasthan,"03/2023
(03/2023)","01/2026
(09/2024)
(01/2026)","1433.28
(1433)",1433
,Total (1),,,,1433.28,1433
,Ministry of Railways,,,,,
,Railways,,,,,
13,"Adraj Moti Vijapur 40 Kms
(Western Railway (WR) - II)
611937",Gujarat,"05/2022
(05/2022)","12/2025
(05/2026)
(12/2025)","417.53
(417.53)",513.61
14,"Western Region Video Surveillance Project
(RCIL)
705300",PAN India,"06/2020
(04/2023)","01/2026
(12/2023)
(07/2026)","227.59
(-)",0
15,"Phephna-Indara, Mau-Shahganj doubling excluding Indara-Mau
(RVNL - I)
705779",Uttar Pradesh,"05/2017
(10/2019)","12/2025
(12/2024)
(12/2025)","1178
(2215)",2217.85
