Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
598,"Rajnandgaon - Nagpur [Kalumna] Third Railway Line [228.30 km]
(South East Central Railway [SECR] - II)
(705617)","Multi-States
(Chhattisgarh,
Maharashtra)",12/2016,"12/2024
06/2026","3545
(3545)",3163.08,95
599,"Jagdalpur-Koraput
(East Coast Railway [ECoR] - II)
(705511)","Multi-States
(Chhattisgarh,
Odisha)",03/2016,"03/2024
12/2026","1547
(1547)",1308.2,90
600,"Jharsuguda-Bilaspur Fourth Railway Line [206 km]
(SECR)
(705616)","Multi-States
(Chhattisgarh,
Odisha)",09/2016,"10/2024
12/2025","2140
(2979)",2124.15,88
601,"Mumbai-Ahmedabad High Speed Rail Project- 508 km
(National High Speed Rail Corporation [NHSRC])
(705728)","Multi-States
(Dadra & Nagar
Haveli and Daman
& Diu, Gujarat,
Maharashtra)",09/2017,"08/2027
12/2029","108000
(108000)",78690.89,53
602,"New Delhi- Mumbai Speed Booster[160Kmph] Project
(PCE/WR)
(705793)","Multi-States (Delhi,
Gujarat, Madhya
Pradesh,
Maharashtra,
Rajasthan)",09/2019,"03/2024
(-)","6806.44
(6806.44)",135.65,0
603,"Hospet - Tinaighat - Vasco Rail Doubling Project
(RVNL - II)
(705650)","Multi-States (Goa,
Karnataka)",07/2012,"03/2027
12/2027","5060
(5060)",5007.82,86
604,"Hospet-Hubli-Vasco da Gama Line Electrification Project
(RVNL)
(706950)","Multi-States (Goa,
Karnataka)",05/2018,"03/2023
03/2024","744.49
(1122.62)",969.05,95
605,"Western Dedicated Freight Corridor
(DFCCIL)
(705237)","Multi-States
(Gujarat, Haryana,
Maharashtra,
Rajasthan, Uttar
Pradesh)",01/2012,"03/2022
12/2025","51101
(124005)",124623,96
606,"New line Dahod-Indore via Sardarpur, Jabuwa and Dhar
(Western Railway [WR] - II)
(705453)","Multi-States
(Gujarat, Madhya
Pradesh)",06/2012,"02/2027
02/2027","1942
(2691)",3412.98,67
607,"Chhota Udaipur - Dhar New Line Project [157 km]
(Western Railway [WR] - II)
(705454)","Multi-States
(Gujarat, Madhya
Pradesh)",01/2014,"12/2025
12/2025","1794
(1794)",1800.85,80
608,"MUMBAI CENTRAL VIRAR VADODARA AHMEDABAAD TRAIN PROTECTION
SYSTEM 500 RKM
(Western Railway)
(611452)","Multi-States
(Gujarat,
Maharashtra)",03/2023,"12/2025
06/2025","311
(311)",208,92
609,"Taranga Hill-Abu Road via Ambaji
(North Western Railway [NWR])
(400022)","Multi-States
(Gujarat,
Rajasthan)",07/2022,"07/2030
07/2030","2798
(2798)",1891.9,14
610,"LUNI- SAMDARI- BHILDI DOUBLING
(North Western Railway [NWR])
(616842)","Multi-States
(Gujarat,
Rajasthan)",02/2024,"07/2027
(-)","3085.59
(3085.59)",154.46,7
611,"Chandigarh-Baddi New Rail Line- 36 km
(Northen Railway [NR])
(705424)","Multi-States
(Haryana,
Himachal Pradesh)",02/2018,"12/2026
12/2026","1540
(1540)",506.73,31
612,"Rewari - Kathuwas Doubling Project [27.72 Km]
(North Western Railway [NWR])
(611861)","Multi-States
(Haryana,
Rajasthan)",12/2022,"06/2027
06/2027","352
(352)",239.01,59
613,"Nangal Dam-Talwara New Broad Gauge Line [84 KM] and Taking Over Siding
Mukerian-Talwara [29 KM]
(Northen Railway [NR])
(705410)","Multi-States
(Himachal
Pradesh, Punjab)",05/1985,"12/2025
01/2027","2018
(2018)",1848,74
614,"Bhanupalli-Bilaspur-Beri New Railway Line Project
(RVNL - II)
(705428)","Multi-States
(Himachal
Pradesh, Punjab)",04/2015,"12/2026
12/2027","13447
(13447)",6391.15,59
615,"Doubling of Hatia [Ranchi]-Bondamunda Rail Line - 159 km
(South Eastern Railway - JH)
(705628)","Multi-States
(Jharkhand,
Odisha)",02/2017,"06/2025
06/2026","3029
(3029)",2458.15,85
616,"Buramara-Chakulia new line [59.96 km]
(South Eastern Railway [SER] - I)
(616588)","Multi-States
(Jharkhand,
Odisha, West
Bengal)",12/2024,"12/2029
(-)","1459.13
(1459.13)",1.04,0
617,"Chandil - Anara - Damodar - 3rd line [121.26 km]
(CAO/C/SER)
(616227)","Multi-States
(Jharkhand, West
Bengal)",07/2025,"09/2029
(-)","1932.01
(1932.01)",0.03,0
618,"Murarai - Barharwa 3rd line
(Eastern Railway [ER] - II )
(617240)","Multi-States
(Jharkhand, West
Bengal)",01/2026,"05/2028
(-)","935.19
(935.19)",0,0
619,"KHARAGPUR-ADITYAPUR THIRD RAIL LINE- 132 KM
(RVNL - II)
(705668)","Multi-States
(Jharkhand, West
Bengal)",01/2018,"03/2025
12/2025","3250
(3250)",3176.46,97
