Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
,Department for Promotion of Industry & Internal Trade,,,,
,Real Estate,,,,
1,"Gaya Integrated Manufacturing Cluster IMC in Bihar
(National Industrial Corridor Development Corporation)
(707420)",Bihar,"08/2024
(04/2026)","04/2029
(-)","1339.02
(-)"
2,"IMC Rajpura - Patiala Development Project
(National Industrial Corridor Development Corporation)
(701662)",Punjab,"08/2024
(03/2026)","09/2028
(-)","1367.72
(-)"
3,"Development of IMC Khurpia Farms under AKIC Project
(National Industrial Corridor Development Corporation)
(701661)",Uttarakhand,"08/2024
(03/2026)","09/2028
(-)","1265.37
(-)"
,Total (3),,,,3972.11
,Department of Telecommunications,,,,
,Telecommunication,,,,
4,"Amended BharatNet Program - J&K, LAD
(Department of Telecommunications)
(437130)",PAN India,"08/2023
(06/2025)","06/2028
(-)","1621
(-)"
5,"Amended BharatNet Program - MGH, MZM, TRP
(Department of Telecommunications)
(462136)",PAN India,"08/2023
(04/2025)","04/2029
(-)","768
(-)"
6,"Amended BharatNet Program - HP
(Department of Telecommunications)
(476006)",PAN India,"08/2023
(02/2025)","02/2028
(-)","1292
(-)"
7,"Amended BharatNet Program - KL
(Department of Telecommunications)
(660056)",PAN India,"08/2023
(06/2025)","06/2028
(-)","765
(-)"
8,"Amended BharatNet Program - UKD
(Department of Telecommunications)
(665021)",PAN India,"08/2023
(05/2025)","05/2028
(-)","1821
(-)"
9,"Amended BharatNet Program - BR
(Department of Telecommunications)
(914467)",PAN India,"08/2023
(03/2025)","03/2028
(-)","1550
(-)"
10,"Amended BharatNet Program - RJ
(Department of Telecommunications)
(938832)",PAN India,"08/2023
(03/2026)","03/2029
(-)","2839
(-)"
11,"Amended BharatNet Program - SKM
(Department of Telecommunications)
(946208)",PAN India,"08/2023
(06/2026)","06/2029
(-)","160
(-)"
12,"Amended BharatNet Program - ARP, NGL, MNP
(Department of Telecommunications)
(976009)",PAN India,"08/2023
(06/2025)","06/2028
(-)","1168
(-)"
13,"Amended BharatNet Program - OD
(Department of Telecommunications)
(317725)",PAN India,"08/2023
(07/2026)","07/2029
(-)","1713
(-)"
14,"Amended BharatNet Program - HR
(Department of Telecommunications)
(124199)",PAN India,"08/2023
(03/2026)","03/2029
(-)","837
(-)"
15,"Amended BharatNet Program - PB
(Department of Telecommunications)
(171218)",PAN India,"08/2023
(02/2025)","02/2028
(-)","1245
(-)"
16,"Amended BharatNet Program - MP, DD and DNH
(Department of Telecommunications)
(175860)",PAN India,"06/2023
(05/2025)","05/2028
(-)","4943
(-)"
17,"Amended BharatNet Program - WB & ANI
(Department of Telecommunications)
(210914)",PAN India,"08/2023
(02/2025)","02/2028
(-)","1674
(-)"
18,"Amended BharatNet Program - AS
(Department of Telecommunications)
(240484)",PAN India,"08/2023
(03/2026)","03/2029
(-)","832
(-)"
19,"BharatNet Phase-II
(Department of Telecommunications)
(547243)",PAN India,"07/2017
(11/2017)","05/2023
(-)","22174.56
(-)"
,Total (16),,,,45402.56
,Ministry of Housing & Urban Affairs,,,,
,Urban Public Transport,,,,
20,"Jaipur Metro Rail Project Phase 2 (Prahladpura to Todi Mod)
(Jaipur Metro Rail Corporation)
(245986)",Rajasthan,"04/2026
(04/2026)","10/2031
(-)","13037.66
(-)"
,Total (1),,,,13037.66
,Ministry of Power,,,,
,Electricity Generation,,,,
21,"Meja Thermal Power Project, Stage-II , (3x800 MW)
(National Thermal Power Corporation [NTPC])
(298178)",Uttar Pradesh,"06/2026
(06/2026)","12/2032
(-)","38358
(-)"
,Total (1),,,,38358
,Ministry of Road Transport & Highways,,,,
,Roads & Highways,,,,
22,"Upgradation of Existing Two Lane Carriageway to Two Lane Carriageway with Paved
Shoulder from Ch. 665686 Existing Km. 665.686 in Khanpur Village in Vansda Taluka
to Ch. 710470 Existing Km. 710.483 in Karvad Village in Vapi Taluka Length 44.784
Km Section of NH-56 in the State of Gujarat on EPC Mode
(NHAI)
(619297)",Gujarat,"02/2026
(07/2026)","07/2028
(01/2027)","647.2
(-)"
23,"6 Lane Greenfield Varanasi- Ranchi- Kolkata Highway from Chatra to junction with NH-
100 in Deoria village from km 222.000 to km 253.000 Pkg -9
(NHAI)
(618731)",Jharkhand,"03/2023
(07/2026)","07/2028
(07/2028)","1418.16
(-)"
