Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
19,"Transmission System Strengthening for integration of additional RE Potential at
Davanagere [0.25 GW] and Bellary [2.75 GW]
(Power Grid Corporation of India Limited [POWERGRID])
(619228)",Karnataka,"02/2026
(02/2026)","02/2028
(-)","1111
(-)"
20,"Network Expansion Scheme in Maharashtra for removal of Transmission constraints in
Pune Region-I [765/400kV AIS Pune East]
(Power Grid Corporation of India Limited [POWERGRID])
(619227)",Maharashtra,"03/2026
(03/2026)","03/2028
(-)","1420
(-)"
,Total (3),,,,2815
,Ministry of Railways,,,,
,Railways,,,,
21,"Doubling of Narkatiaganj Raxaul Sitamarhi Darbhanga & Sitamarhi Muzaffarpur 256
KM
(East Central Railway [ECR] - I)
(617239)",Bihar,"11/2024
(11/2025)","11/2029
(-)","4079.95
(-)"
22,"Chandargaon - Cansaulium Rail Flyover Project [16 Km]
(South Western Railway [SWR] - II)
(706865)",Goa,(04/2026),"03/2031
(-)","1892
(-)"
23,"Desalpar-Hajipir-Luna and Vayor-Lakhpat New Line
(Western Railway [WR] - II)
(617880)",Gujarat,"09/2025
(09/2025)","09/2028
(-)","2526.47
(-)"
24,"Kosamba Umarpada GC PROJECT
(Ministry of Railways-)
(616983)",Gujarat,"07/2023
(07/2023)","06/2027
(-)","467.58
(-)"
25,"Parasnath-Madhuban-Giridih new line
(East Central Railway [ECR] - I)
(705747)",Jharkhand,"03/2019
(03/2019)","03/2024
(03/2026)","902.86
(-)"
26,"Construction of New BG line between Hassan [Alur] to Belur [ Km 27.34]
(South Western Railway [SWR] - II)
(705762)",Karnataka,"06/2019
(09/2022)","04/2027
(12/2027)","748.86
(-)"
27,"Hubli-Ankola New Line Project [164.44 km]
(South Western Railway [SWR] - II)
(705493)",Karnataka,"01/1999
(01/2000)","03/2005
(03/2030)","5174
(-)"
28,"Bangalore-Satyamanglam New Line Project [260 Km] - Part Hejjala - Chamarajanagar
[142 Km]
(South Western Railway [SWR] - II)
(705464)",Karnataka,"02/1999
(07/2026)","12/2031
(-)","1382.78
(-)"
29,"Gauge Conversion of Pachora-Jamner with Extension upto Malkapur [Bodwad] [84.34
Kms]
(Central Railway [CR] - II)
(612845)",Maharashtra,"08/2022
(01/2026)","07/2028
(-)","955.39
(-)"
30,"Wardha - Yavatmal Nanded Railway Line Project
(Central Railways)
(705497)",Maharashtra,"02/2008
(04/2013)","12/2026
(-)","3445.34
(4030.69)"
31,"Byrnihat-Shillong New Rail Line- 108 km
(Northeast Frontier Railway [NFR])
(705396)",Meghalaya,"04/2011
(03/2010)","03/2021
(03/2027)","8324.28
(8342.28)"
32,"Tetlia-Byrnihat New Railway Line
(Northeast Frontier Railway [NFR])
(705394)","Multi-States (Assam,
Meghalaya)","08/2010
(03/2007)","11/2011
(06/2027)","1304.62
(1304.62)"
33,"Rourkela-Bondamunda A-Cabin 5th line [9.6 km]
(CAO/C/SER)
(615915)",Odisha,"09/2022
(12/2023)","03/2026
(-)","244.99
(-)"
34,"Naupada-Gunupur - New line upto Theruvali [73.62 km]
(Indian Railway)
(616839)",Odisha,"08/2024
(04/2026)","12/2029
(-)","1165.89
(-)"
35,"Ludhiana Mullanpur 21Km Doubling Railway project
(CAO/C/NR)
(607653)",Punjab,(10/2022),"06/2024
(-)","234.78
(-)"
36,"Dedicated Test Track for RDSO /Phase-II Project
(North Western Railway [NWR])
(706836)",Rajasthan,"11/2021
(01/2022)","03/2026
(-)","466.42
(-)"
37,"Madurai- Tuticorin New Line
(Ministry of Railways)
(705489)",Tamil Nadu,"04/2011
(09/2016)","07/2021
(12/2027)","601.43
(2084.48)"
,Total (17),,,,33917.64
,Ministry of Road Transport & Highways,,,,
,Roads & Highways,,,,
38,"4 L of China Orampadu-Renigunta section of NH-716 Package-II of Kadapa-Renigunta
section
(National Highways Authority of India [NHAI])
(619102)",Andhra Pradesh,"12/2022
(03/2026)","03/2028
(03/2028)","1500.11
(-)"
39,"4L of Kadapa China Orampadu section of NH-716 Package I of Kadapa-Renigunta
section
(National Highways Authority of India [NHAI])
(618633)",Andhra Pradesh,"12/2022
(03/2026)","03/2028
(03/2028)","1732.66
(-)"
40,"lmprovement and Widening to 2 lane with paved Shoulder of NH-15 old NH-52 from
Existing Km 770.600 Design Km 24.819 to Existing km 805.750 Design Km 59.885
Kamlang T-Junction to Chowkham, Existing Length 35.150 Km, Design Length-35.066
Km in the state of Arunachal Pradesh on EPC mode Pkg-2
(NHIDCL)
(619014)",Arunachal Pradesh,"12/2023
(02/2026)","02/2028
(-)","316.73
(-)"
41,"Muzaffarpur - Sonbarsa Section of NH-77 from km 2.800 to km 89.000
(NHAI)
(619320)",Bihar,(05/2011),"11/2013
(06/2026)","2290.72
(2311.1)"
42,"Construction of 6-lane Greenfield corridor from Ramnagar to Kacchi Dargah NH-119D
from Km 109700 to Km 122300, including widening of the existing NH-31 from Km
196700 to Km 198600, as part of the Amas-Darbhanga.
(National Highways Authority of India [NHAI])
(618742)",Bihar,"01/2025
(04/2026)","04/2028
(04/2028)","1113.46
(-)"
