Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
,Department of Higher Education,,,,
,Education,,,,
1,"Phase B of Construction of Permanent Campus of IIT Bhilai
(Indian Institute of Technology, Bhilai)
(617877)",Chhattisgarh,"05/2025
(06/2025)","10/2028
(-)","1188.97
(-)"
2,"Phase B of Construction of Permanent Campus of IIT Palakkad
(INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD)
(617878)",Kerala,"05/2025
(01/2026)","10/2028
(-)","1527
(-)"
,Total (2),,,,2715.97
,Ministry of Health & Family Welfare,,,,
,Healthcare,,,,
3,"Setting up IT Infrastructure including Network Security and Hosting at AIIMS, New
Delhi
(PMSSY AND Institute of NATIONAL Importance)
(617882)",Delhi,"09/2025
(09/2025)","09/2026
(-)","358.19
(-)"
4,"Redevelopment of Residential colonies at Ayur Vigyan Nagar and West Ansari Nagar
campuses of AIIMS, New Delhi
(PMSSY AND Institute of NATIONAL Importance)
(617883)",Delhi,"10/2016
(06/2022)","06/2027
(-)","4441
(-)"
,Total (2),,,,4799.19
,Ministry of Housing & Urban Affairs,,,,
,Urban Public Transport,,,,
5,"Pune Metro Rail Project Phase-2 Corridor 2A Vanaz to Chandani Chowk and Corridor
2B Ramwadi to Wagholi/Vitthalwadi
(Maharashtra Metro Rail Corporation Limited [MMRCL])
(618971)",Maharashtra,"07/2025
(07/2025)","07/2029
(-)","3626.24
(-)"
,Total (1),,,,3626.24
,Ministry of Petroleum & Natural Gas,,,,
,Energy Storage,,,,
6,"Capacity Augmentation of Kandla LPG Import Terminal [KLIT] from 0.6 MMTPA to 2.5
MMTPA
(Ministry of Petroleum & Natural Gas)
(617839)",Gujarat,"05/2023
(05/2023)","07/2026
(-)","356.86
(-)"
7,"LPG Bottling Plant at Mualkhang
(Ministry of Petroleum & Natural Gas)
(617829)",Mizoram,"07/2024
(07/2024)","11/2027
(11/2027)","225.71
(225.71)"
,Total (2),,,,582.57
,Oil & Gas,,,,
8,"Pipeline Rehabilitation Project, Phase-II
(Ministry of Petroleum & Natural Gas)
(617827)",Assam,"12/2024
(12/2024)","12/2029
(12/2029)","680
(680)"
9,"Coke Drum Structure Package
(Ministry of Petroleum & Natural Gas)
(617836)",Assam,"12/2022
(12/2022)","12/2025
(12/2025)","635.28
(635.28)"
10,"City Gas Distribution [CGD] Project in Kondagaon, Bastar, Sukma, Narayanpur,
Bijapur & Dantewada GA
(Ministry of Petroleum & Natural Gas)
(617819)",Chhattisgarh,"06/2022
(06/2022)","06/2030
(06/2030)","557.04
(557.04)"
11,"Augmentation of CCKPL and IDPL Pipelines capacity along with setting up of
Palakkad TOP
(Ministry of Petroleum & Natural Gas)
(617838)",Kerala,"09/2024
(09/2024)","08/2028
(08/2028)","1130
(1130)"
12,"C2/C3 Vijaipur Pata Pipeline
(Ministry of Petroleum & Natural Gas)
(617830)",Madhya Pradesh,"05/2024
(05/2024)","01/2027
(-)","1792
(-)"
13,"City Gas Distribution [CGD] Project in Gajapati, Kandhamal, Boudh, & Sonepur GA
(Ministry of Petroleum & Natural Gas)
(617818)",Odisha,"02/2022
(02/2022)","02/2030
(02/2030)","514.91
(514.91)"
14,"ATF Pipeline from BPCLs Malkapur POL Installation to Hyderabad International
airport
(MinistryofPetroleumNaturalGas)
(617822)",Telangana,(03/2025),"09/2027
(-)","215
(-)"
15,"Siliguri-Jhapa Pipeline Project
(Indian Oil Corporation Limited (IOCL))
(617828)",West Bengal,"09/2024
(09/2024)","03/2029
(03/2029)","267
(267)"
16,"Siliguri Marketing Terminal [SMT] Capacity Augmentation Project
(Ministry of Petroleum & Natural Gas)
(617837)",West Bengal,"11/2021
(11/2021)","12/2025
(12/2025)","484
(484)"
,Total (9),,,,6275.23
,Ministry of Power,,,,
,Transmission & Distribution,,,,
17,"Transmission System for Integration of Ananthapur 2 REZ Phase 1 for 4.5 GW. SPV
Name Anantapuram 2 REZ Transmission Ltd
(Sterlite Power)
(617806)","Multi-States (Andhra Pradesh,
Karnataka)","08/2024
(03/2025)","03/2027
(-)","4535.99
(-)"
18,"Inter-regional [NR-WR] Transmission System strengthening to relieve the loading of
765 kV Vindhyachal-Varanasi D/c line
(Power Grid Corporation of India Limited [POWERGRID])
(617807)","Multi-States (Bihar, Uttar
Pradesh)","10/2025
(10/2025)","10/2027
(-)","2368
(-)"
19,"Inter-Regional Strengthening between SR Grid and WR Grid
(Power Grid Corporation of India Limited [POWERGRID])
(617808)","Multi-States (Karnataka,
Maharashtra)","10/2025
(10/2025)","10/2027
(-)","1007
(-)"
,Total (3),,,,7910.99
