Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
,Department of Telecommunications,,,,
,Telecommunication,,,,
1,"Amended BharatNet Program - KTK, GOA, PY
(Department of Telecommunications)
(108841)",PAN India,"08/2023
(06/2025)","06/2028
(-)","3742
(-)"
2,"Amended BharatNet Program - UP (East)
(Department of Telecommunications)
(222253)",Uttar Pradesh,"08/2023
(02/2025)","02/2028
(-)","5008
(-)"
3,"Amended BharatNet Program - UP (West)
(Department of Telecommunications)
(708687)",Uttar Pradesh,"08/2023
(02/2025)","02/2028
(-)","1917
(-)"
,Total (3),,,,10667
,Ministry of Road Transport & Highways,,,,
,Roads & Highways,,,,
4,"lmprovement and Widening to 2-lane with Paved Shoulder of NH-13 & 15 Old NH-52
from Existing Km 745.60 Design Km 0.000 to Existing km 770.600 Design Km 24.819
Brahmakund T-junction to Kamlang T-Junction, Existing Length 25.00 Km, Design
Length 24.819 Km in the state of Arunachal Pradesh on EPC mode Pkg-1
(NHIDCL)
(619248)",Arunachal Pradesh,"12/2023
(06/2026)","06/2028
(-)","441.41
(-)"
5,"Balance Works of Rehabilitation and Up gradation of NH-43 New NH-30 from Krn
162120 to Krn 173500 Length 11.380 Km. Keshkal Bypass 4-Lane with Paved
shoulder in the State Of Chhattisgarh under NHDP-IV through Engineering,
Procurement & Construction EPC Basis
(MoRTH)
(619039)",Chhattisgarh,"06/2025
(06/2026)","06/2028
(-)","307.96
(-)"
6,"Balance Work Estimate of Rehabilitation and Up-gradation of NH- 43 from Km.
468.600 to Km. 531.250 Pathalgaon to kunkuri Section to two-lane with paved
shoulder in the State of Chhattisgarh on SBD mode under NHO under Annual plan
2025-26
(MoRTH)
(619347)",Chhattisgarh,"03/2026
(06/2026)","06/2028
(-)","201.16
(-)"
7,"4 Lane with Paved Shoulder from Dareota Village to Kalar Bala NH 205, Design
Chainage -Km 33185 to Km 41000, Design Length-7.815 Km Package-IIB
(NHAI)
(618892)",Himachal Pradesh,"06/2025
(06/2026)","06/2028
(06/2028)","992.85
(-)"
8,"6 Lane Greenfield Varanasi- Ranchi- Kolkata Highway from Donoreshan village to
junction with NH-20 in Bongabar village from km 288.600 to km 325.500 Pkg -11
(NHAI)
(618729)",Jharkhand,"03/2023
(07/2026)","07/2028
(-)","1856.12
(-)"
9,"6L Greenfield Varanasi- Ranchi- Kolkata Highway from junction with NH-20 in
Bongabar village to junction with NH-30 in Lepo village from km 325.500 to km
358.500 Pkg -12
(NHAI)
(618733)",Jharkhand,"03/2023
(07/2026)","07/2028
(-)","1525.52
(-)"
10,"Capacity Augmentation in the stretch of Pimpri Sado Vadape section of NH848 Km.
460900 to Km. 537000 by Construction of Slip/Service Road on either side at various
locations total length 25.140 Km LHSRHS, Flyover 2 x 25m at Borivali Junction Km.
528550 & LVUP 1 x 15m at Sherekarpada Km. 528800
(NHAI)
(619204)",Maharashtra,"12/2025
(04/2026)","10/2027
(10/2027)","372.03
(-)"
11,"Construction of 6 Lane Elevated corridor from KM 612582 to KM 617540 including
construction of Service Roads in Kolhapur City on NH -48 in the State of Maharashtra
on EPC mode under NHO
(NHAI)
(619298)",Maharashtra,"02/2026
(06/2026)","06/2029
(06/2029)","1039
(-)"
12,"Construction of a 6-Lane Elevated Corridor from Km 593766 to Km 596620 Including
Construction of Service Roads in Kagal City on NH-48 in the State of Maharashtra on
EPC Mode.
(NHAI)
(619299)",Maharashtra,"03/2026
(06/2026)","06/2028
(06/2028)","357.99
(-)"
13,"Construction of Four Lane Nagpur-Katol section of NH-353J including Mitigation
Structures from Design Ch. 37000 to Ch. 45990 Tiger Corridor-I Mitigation Structures
from Design Ch. 37000 to Ch. 45990 Tiger Corridor-I in the State of Maharashtra on
EPC Mode
(NHAI)
(619300)",Maharashtra,"01/2026
(06/2026)","12/2027
(12/2027)","300.68
(-)"
14,"Development of 6-lane Greenfield Southern Ludhiana Bypass from intersection with
NH-44 near Village Rajgarh to intersection with Delhi Katra Expressway NE-5 near
Village Ballowal, km 0000 to km 25240
(NHAI)
(618648)",Punjab,"11/2024
(03/2026)","03/2028
(03/2028)","1424.55
(-)"
15,"Upgradation of 6 laned Jaipur- Kishangarh section of NH-48 from km 274100 to
363885 involving construction of flyovers and Service road in Rajasthan On
Engineering, Procurement & Construction EPC Mode
(NHAI)
(619270)",Rajasthan,"03/2026
(07/2026)","01/2029
(-)","910.91
(-)"
16,"Construction of Elevated Corridor at Kherwara Town on Udaipur Ratanpur Shamlaji
Section of NH-48 in Udaipur District in the State of Rajasthan on EPC mode
(NHAI)
(619271)",Rajasthan,"03/2026
(07/2026)","01/2029
(-)","363.89
(-)"
17,"2L PS Greenfield bypass lalganj ajhara, mohanganj and Raniganj on Raebareli -
Jaunpur Section Design km 0.00 to Km 53177 of NH-31
(NHAI)
(618842)",Uttar Pradesh,"12/2024
(06/2026)","06/2028
(-)","1280.68
(-)"
,Total (14),,,,11374.75
