Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
,Ministry of Civil Aviation,,,,
,Aviation & Aviation Infrastructure,,,,
1,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.
(Airport Authority of India [AAI])
(618977)",Rajasthan,"08/2025
(10/2025)","10/2027
(-)","1507
(-)"
,Total (1),,,,1507
,Ministry of Coal,,,,
,Coal,,,,
2,"Talabira II & III OCP - FMC
(NLC India Limited [NLCIL])
(618982)",Odisha,"10/2022
(05/2023)","06/2026
(-)","522.45
(-)"
,Total (1),,,,522.45
,Electricity Generation,,,,
3,"200 MW SPP part of 510 MW CPSU scheme
(NLC India Limited [NLCIL])
(618991)",Gujarat,"07/2022
(03/2024)","12/2026
(-)","1221.41
(-)"
4,"100 MW SPP part of SECI 150 MW Hybrid
(NLC India Limited [NLCIL])
(618992)",Gujarat,"07/2022
(04/2024)","12/2026
(-)","480.68
(-)"
,Total (2),,,,1702.09
,Ministry of Health & Family Welfare,,,,
,Healthcare,,,,
5,"AIIMS Darbhanga
(PMSSY AND Institute of NATIONAL Importance)
(701172)",,(09/2020),"09/2024
(-)","1264
(-)"
6,"AIIMS Rajkot
(PMSSY AND Institute of NATIONAL Importance)
(701170)",Gujarat,"01/2019
(01/2019)","03/2026
(03/2026)","1195
(-)"
7,"ALL India Institute of Medical Sciences-AIIMS Madurai
(PMSSY AND Institute of NATIONAL Importance)
(701168)",Tamil Nadu,"12/2018
(12/2018)","08/2022
(10/2026)","1264
(2021.51)"
,Total (3),,,,3723
,Ministry of Housing & Urban Affairs,,,,
,Urban Public Transport,,,,
8,"Pune Metro Rail Project Phase-2 Line-4 Kharadi to Khadakwasla with Spur Line 4A
Nal Stop - Warje - Manikbaug
(Maharashtra Metro Rail Corporation Limited [MMRCL])
(618985)",Maharashtra,"12/2025
(12/2025)","12/2030
(-)","9857.85
(-)"
,Total (1),,,,9857.85
,Ministry of Power,,,,
,Electricity Generation,,,,
9,"Gadarwara Super Thermal Power Project, Stage-II [3x800 MW]
(National Thermal Power Corporation [NTPC])
(618976)",Madhya Pradesh,"11/2024
(05/2025)","03/2030
(-)","20446
(-)"
,Total (1),,,,20446
,Ministry of Railways,,,,
,Railways,,,,
10,"Furkating-New Tinsukia[194 Km]
(Northeast Frontier Railway [NFR])
(618986)",Assam,"09/2025
(09/2025)","06/2029
(-)","3633.58
(-)"
11,"Devbhumi Dwarka [Okha] - Kanalus Doubling
(Western Railway (WR) - II)
(618972)",Gujarat,"12/2025
(12/2025)","12/2028
(-)","1456.77
(-)"
12,"Bangalore Suburban Railway Project
(Karnataka Rail Infrastructure Development Company Limited [K-RIDE])
(705941)",Karnataka,"10/2020
(10/2020)","12/2026
(03/2030)","15767
(-)"
13,"Katihar Kumedpur & Katihar Mukuria BG Doubling Project
(Northeast Frontier Railway [NFR])
(617245)","Multi-States (Bihar, West
Bengal)","08/2022
(08/2022)","08/2026
(02/2027)","942.64
(-)"
14,"Gondia - Dongargarh 4th line [84 Km]
(South Eastern Central Railway)
(618978)","Multi-States (Chhattisgarh,
Maharashtra)","10/2025
(10/2025)","10/2030
(-)","2222.53
(-)"
15,"Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at
Barpali.
(South Eastern Railway [SER] - I)
(400006)",Odisha,"10/2021
(10/2021)","10/2025
(12/2025)","808.99
(-)"
16,"Doubling of Lingaraj SILO connectivity of NTPC line and augmentation of NTPC
exchange yard and NTPC Block Cabin.
(East Coast Railway [ECoR] - II)
(400047)",Odisha,"08/2022
(06/2022)","12/2024
(07/2024)","210
(-)"
17,"Doubling of lines connecting the loading spurs in Talcher Yard.
(East Coast Railway [ECoR] - II)
(400048)",Odisha,"09/2022
(06/2022)","12/2024
(09/2024)","186.21
(-)"
18,"Flyover between Siju and Paradeep coaching Yard to avoid Surface crossing of trains
(East Coast Railway [ECoR] - II)
(616694)",Odisha,"04/2023
(10/2025)","07/2028
(-)","200.77
(-)"
19,"New Line between Junagarh - Nabarangpur [116.21 Km]
(Indian Railway)
(618995)",Odisha,"08/2024
(08/2025)","08/2030
(-)","2864.51
(-)"
20,"Varanasi-Pt. Deen Dayal Upadhyaya multitracking 15km including construction of new
Rail-cum-Road Bridge across Ganga River.
(Northern Railways)
(617213)",Uttar Pradesh,"10/2024
(10/2025)","10/2029
(-)","2464.46
(-)"
,Total (11),,,,30757.46
