Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
,Department for Promotion of Industry & Internal Trade,,,,
,Real Estate,,,,
1,"Orvakal Industrial Area
(NICDC)
(617727)",Andhra Pradesh,"08/2024
(10/2025)","10/2028
(-)","2786
(-)"
2,"Kopparthy Industrial Area
(NICDC)
(617729)",Andhra Pradesh,"08/2024
(10/2025)","10/2028
(-)","2136
(-)"
3,"Development of Palakkad Node under extension of CBIC to Kochi
(National Industrial Corridor Development Corporation)
(701668)",Kerala,"08/2024
(10/2025)","04/2029
(-)","3805
(-)"
4,"Development of Zaheerabad Node under Hyderabad Nagpur Industrial Corridor
(National Industrial Corridor Development Corporation)
(601812)",Telangana,"08/2024
(02/2026)","01/2029
(-)","2360
(-)"
5,"IMC at Prayagraj
(National Industrial Corridor Development Corporation)
(707419)",Uttar Pradesh,"08/2024
(04/2026)","12/2028
(-)","658
(-)"
,Total (5),,,,11745
,Department of Higher Education,,,,
,Education,,,,
6,"Construction of IIT Bhubaneswar -Phase III
(Indian Institute of Technology, Bhubaneshwar)
(611961)",Odisha,"02/2024
(05/2024)","11/2026
(-)","454.27
(-)"
,Total (1),,,,454.27
,Ministry of Coal,,,,
,Coal,,,,
7,"North Dhadu Western Part OCP
(NLC India Limited [NLCIL])
(617764)",Jharkhand,"10/2023
(12/2023)","03/2029
(-)","1354.2
(-)"
,Total (1),,,,1354.2
,Electricity Generation,,,,
8,"810 MW Solar Power Project - Rajasthan
(NLC India Limited [NLCIL])
(618981)",Rajasthan,"10/2024
(09/2025)","03/2028
(-)","4147.07
(-)"
,Total (1),,,,4147.07
,Ministry of Housing & Urban Affairs,,,,
,Urban Public Transport,,,,
9,"Bangalore Metro Rail Project - PHASE-3
(Bengaluru Metro Rail)
(612878)",Karnataka,(06/2026),"05/2031
(-)","15611
(-)"
,Total (1),,,,15611
,Waste & Water,,,,
10,"Lucknow Sewerage Management Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702958)",Uttar Pradesh,(05/2019),"03/2023
(05/2026)","142.46
(173.21)"
,Total (1),,,,142.46
,Ministry of Petroleum & Natural Gas,,,,
,Energy Storage,,,,
11,"Setting up of 50 MW [plus/minus 5 percent] Wind Power Plant for Captive
Consumption at MR
(MinistryofPetroleumNaturalGas)
(619313)",Maharashtra,"05/2023
(05/2023)","04/2027
(04/2027)","483.14
(483.14)"
,Total (1),,,,483.14
,Oil & Gas,,,,
12,"Group Gathering Station, Lakwagaon
(Ministry of Petroleum & Natural Gas)
(619316)",Assam,"10/2025
(10/2025)","10/2027
(10/2027)","495.59
(495.59)"
13,"Pipeline Replacement Project- PRP-IX
(Ministry of Petroleum & Natural Gas)
(619314)",Offshore,"08/2025
(08/2025)","05/2027
(-)","6175
(-)"
14,"Bulk Loading Hub- Kanpur
(MinistryofPetroleumNaturalGas)
(619312)",Uttar Pradesh,"09/2025
(09/2025)","09/2027
(09/2027)","186
(186)"
,Total (3),,,,6856.59
,Ministry of Power,,,,
,Electricity Generation,,,,
15,"Kalai-II Hydro Electric Project [1200 MW]
(THDC India Limited)
(619311)",Arunachal Pradesh,"04/2026
(04/2026)","10/2032
(-)","14105.83
(-)"
16,"700 MW Tato-II HE Project
(North Eastern Electric Power Corporation Limited)
(611716)",Arunachal Pradesh,"09/2025
(09/2025)","09/2031
(-)","8146.21
(-)"
17,"Darlipali Super Thermal Power Project, Stage-II [1x800 MW]
(National Thermal Power Corporation [NTPC])
(619056)",Odisha,"11/2025
(11/2025)","01/2031
(-)","11131
(-)"
,Total (3),,,,33383.04
,Transmission & Distribution,,,,
18,"Transmission system for evacuation of Power from REZ in Rajasthan [20 GW] under
phase-III Part-D Phase-II
(Power Grid Corporation of India Limited [POWERGRID])
(615336)",Delhi,"11/2023
(10/2024)","02/2026
(12/2026)","284
(-)"
