Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
756,"Chunar-Chopan doubling project
(North Central Railway)
(617284)
(-)",Uttar Pradesh,"08/2023
(01/2025)","03/2028
(-)","1423.96
(1423.96)",96.76,14
757,"Surface triangle line bet. Bhadura stn and new crossing stn Karma
(East Central Railway [ECR] - I)
(617333)
(-)",Uttar Pradesh,"10/2022
(05/2024)","02/2027
(-)","199.96
(199.96)",3.27,0
758,"Doubling between Jaunpur Jn - Zaffarabad 6.28 km
(M/S SRC company Infra Private Limited)
(617370)
(-)",Uttar Pradesh,"03/2023
(02/2025)","01/2027
(-)","180.66
(180.66)",4,15
759,"Burhwal Gonda 3rd line
(North Eastern Railway [NER])
(705567)
(N22000468)",Uttar Pradesh,"11/2017
(07/2019)","03/2025
(01/2026)","1016
(1118)",1039.67,88
760,"Janghai-Pratapgarh- Amethi
(CAO/C/II/NR)
(705588)
(N22000583)",Uttar Pradesh,"11/2017
(03/2017)","03/2025
(03/2026)","722
(1194)",1650.58,70
761,"Lalitpur-Birari with flyover at Lalitpur- 16 Km
(North Central Railway)
(705766)
(N22000546)",Uttar Pradesh,"03/2017
(11/2017)","12/2024
(01/2026)","304.44
(356)",245.11,83
762,"Allahabad-Bamhrauli Flyover Construction & 4th Railway Line Project
(North Central Railway)
(705771)
(-)",Uttar Pradesh,"04/2019
(10/2020)","03/2026
(03/2026)","494
(494)",376.99,70
763,"Mughalsarai-Allahabad, 3rd line
(North Central Railway)
(705772)
(N22000544)",Uttar Pradesh,"12/2015
(03/2016)","12/2026
(03/2027)","2649
(2649.44)",1824.33,68
764,"Aligarh -Daud Khan Flyover Construction & 3rd Railway Line Project
(CAO/C/NCR)
(705774)
(N22000562)",Uttar Pradesh,"04/2019
(09/2020)","01/2025
(03/2027)","758
(779.49)",460.42,82
765,"Bhandai - Flyover for Etawah bound down train- 10 Km
(North Central Railway [NCR] - II)
(705777)
(-)",Uttar Pradesh,"07/2020
(04/2021)","02/2026
(02/2027)","250.18
(250.18)",115.71,8
766,"Bhatni-Aurnihar with electrification excluding Indara-Mau
(RVNL - I)
(705780)
(N22000598)",Uttar Pradesh,"03/2018
(03/2017)","12/2024
(03/2026)","2529
(2529.46)",2080.46,94
767,"Barabanki-Malhaur 3rd & 4th Railway Line Project
(Ministry of Railways)
(705782)
(N22000590)",Uttar Pradesh,"01/2019
(04/2017)","03/2025
(08/2026)","407
(407)",383.58,77
768,"Allahabad division - Aligarh - Harduaganj Flyover
(North Central Railway)
(705918)
(N22000545)",Uttar Pradesh,"04/2020
(02/2021)","10/2026
(03/2027)","1457
(1457)",400.19,14
769,"Rishikesh-Karnaprayag New Rail Line- 125 km
(RVNL - II)
(705429)
(N22000406)",Uttarakhand,"11/2016
(08/2018)","12/2025
(12/2028)","38953
(38953)",27881.09,73
770,"Kalinarayanpur-Krishnanagar Doubling Alongwith Krishnanagar - Chapra New Line
And Naihati-Ranaghat 3rd Line.
(Eastern Railway [ER] - I)
(400247)
(N22000624)",West Bengal,"07/2015
(11/2005)","02/2027
(02/2027)","1000
(1000)",1060.34,70
771,"Tarakeshwar-Bishnupur New Line [82.47 km]
(Eastern Railway [ER] - I)
(400273)
(220100272)",West Bengal,"03/2001
(02/2008)","03/2019
(02/2026)","1189
(1542)",1365.49,96
772,"Dum Dum Airport-New Garia via Rajarhat-Construction of Metro Railway
(RVNL - II)
(400277)
(N22000110)",West Bengal,"03/2010
(10/2011)","12/2025
(03/2026)","8964
(8964)",8543.75,86
773,"Construction of Balurghat-Hilli new BG Line
(Northeast Frontier Railway [NFR])
(612096)
(N22000206)",West Bengal,"12/2010
(12/2010)","03/2027
(03/2027)","1209
(1181.57)",434.5,15
774,"SER Upgradation of maintenance infrastructure at Shalimar into Vande Bharat Chair
Car maintenance cum workshop depot.
(South Eastern Railway - JH)
(617345)
(-)",West Bengal,"03/2024
(12/2024)","10/2026
(-)","226.87
(226.87)",43.32,45
775,"Joka-BBD Bag new metro project
(RVNL - II)
(705730)
(N22000111)",West Bengal,"03/2010
(04/2010)","12/2026
(12/2029)","4835
(10362)",4868.71,51
776,"Noapara-Barasat via Bimanbandar - Construction of Metro railway [18 km]
(Metro Railway, Kolkata)
(706776)
(N22000108)",West Bengal,"11/2010
(03/2010)","08/2026
(03/2029)","4830
(4830)",3258.95,32
777,"Baranagar-Barrackpore and Dakshineshwar- Construction of Metro Railway
(RVNL - II)
(706777)
(N22000109)",West Bengal,"03/2010
(03/2010)","12/2026
(12/2030)","2298
(2734)",393.02,17
,Total (245),,,,690121.29,561724.48,
