Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Actual Date of Completion
(Orignal/Target DoC)
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
,Ministry of Housing & Urban Affairs,,,,,
,Waste & Water,,,,,
1,"Jaunpur Sewerage Management Infrastructure Project
(Ministry of Housing & Urban Affairs)
702948",Uttar Pradesh,"03/2017
(08/2019)","03/2026
(06/2023)
(03/2026)","235.73
(231.62)",231.62
,Total (1),,,,235.73,231.62
,Ministry of Petroleum & Natural Gas,,,,,
,Oil & Gas,,,,,
2,"Replacement and Extension of Jetty Pipelines [REJP] at KR
(Bharat Petroleum Corporation Limited [BPCL])
709790",Kerala,"03/2023
(03/2023)","02/2026
(03/2026)
(02/2026)","621.87
(372)",220
3,"Installation of Independent De- Aromatized Solvents [DAS] production facilities at
MR
(Bharat Petroleum Corporation Limited [BPCL])
709789",Maharashtra,"03/2023
(03/2023)","02/2026
(07/2025)
(02/2026)","405
(343)",254.56
4,"PP Project, Pata
(Gas Authority of India Limited [GAIL])
400161",Uttar Pradesh,"03/2019
(03/2019)","02/2026
(01/2024)
(02/2026)","910.56
(1299.02)",1082
,Total (3),,,,1937.43,1556.56
,Ministry of Power,,,,,
,Transmission & Distribution,,,,,
5,"Transmission system for evacuation of power from REZ in Rajasthan 20 GW
under Phase-III part B1
(Power Grid Corporation of India Limited [POWERGRID])
611950",Rajasthan,"09/2023
(09/2023)","03/2026
(04/2025)
(02/2026)","2190.54
(-)",2190.54
,Total (1),,,,2190.54,2190.54
,Ministry of Railways,,,,,
,Railways,,,,,
6,"Penukonda - Dharmavaram Doubling Project [41.5 Km]
(South Western Railway [SWR] - II)
705789",Andhra Pradesh,"06/2018
(12/2018)","02/2026
(03/2026)
(03/2026)","307.66
(307.66)",311.28
7,"Quadrupling between Gandhidham Adipur with Y connection at Adipur for
providing direct entry towards Mundra Port and Bhuj and high level platform at
Gopalpur 11Kms
(Western Railway [WR] - II)
611944",Gujarat,"02/2023
(02/2023)","02/2026
(03/2026)
(01/2026)","152.44
(152.44)",120.36
8,"Trivandrum- Kanyakumari
(Southern Railway [SR] - I)
705635","Multi-States (Kerala,
Tamil Nadu)","08/2017
(03/2016)","03/2026
(03/2025)
(12/2026)","1432
(3785.45)",2882.55
,Total (3),,,,1892.1,3314.19
,Ministry of Road Transport & Highways,,,,,
,Roads & Highways,,,,,
9,"Construction of 2-Laning with hard shoulders of Hayuliang Hawai bypass Road
on EPC basis from design Km. 51.825 to Km. 63.131 Existing Km 45.050 of
HayuliangHawai road to Hawai Town under SARDP-NE -Balance work Pkg - IV
(NHIDCL)
618424",Arunachal Pradesh,"01/2017
(05/2021)","NA
(05/2023)
(07/2026)","256.66
(216.76)",0
,Total (1),,,,256.66,0
