Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Actual Date of Completion
(Orignal/Target DoC)
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
,Ministry of Civil Aviation,,,,,
,Aviation & Aviation Infrastructure,,,,,
1,"Lucknow Airport-Terminal 3- Phase 1 & Other Associated Works
(Adani Airport Holdings Limited)
701091",Uttar Pradesh,"06/2018
(09/2018)","03/2024
(03/2026)
(-)","3100
(-)",3112.57
,Total (1),,,,3100,3112.57
,Ministry of Coal,,,,,
,Coal,,,,,
2,"JAMPALI OC RCE [2.0 MTY]
(South Eastern Coalfields Limited [SECL])
613795",Chhattisgarh,"05/2020
(05/2020)","08/2024
(03/2025)
(06/2025)","278.64
(-)",210.07
,Total (1),,,,278.64,210.07
,Ministry of Housing & Urban Affairs,,,,,
,Construction,,,,,
3,"C/o 184 MS Flats for Hon'ble MPs at BKS Marg, New Delhi
(Central Public Works Department [CPWD])
617282",Delhi,"01/2022
(05/2022)","09/2025
(05/2025)
(09/2025)","646.53
(646.52)",540.04
,Total (1),,,,646.53,540.04
,Waste & Water,,,,,
4,"Dibrugarh Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
702682",Assam,"02/2016
(01/2020)","12/2025
(03/2023)
(01/2026)","186.8
(-)",186.8
,Total (1),,,,186.8,186.8
,Ministry of Labour and Employment,,,,,
,Healthcare,,,,,
5,"Construction of New OPD Block 200 Bed ward Basement + GF + 6 Floors at the
location of old OPD block, at existing ESIC Hospital/ Medical college campus,
Sanathnagar, Hyderabad
(Employee's State Insurance Company [ESIC])
612688",Telangana,"11/2017
(10/2021)","06/2025
(06/2024)
(06/2025)","211.13
(-)",198.95
,Total (1),,,,211.13,198.95
,"Ministry of Ports, Shipping and Waterways",,,,,
,Shipping,,,,,
6,"Construction of new dry dock at exisitng Cochin Shipyard Limited premises at
Perumanoor, Kochi 682 015
(Cochin Shipyard)
701564",Kerala,"04/2018
(05/2018)","03/2025
(12/2022)
(03/2025)","1799
(-)",1558.39
,Total (1),,,,1799,1558.39
,Ministry of Power,,,,,
,Transmission & Distribution,,,,,
7,"Western Region Expansion Scheme-XXV
(Power Grid Corporation of India Limited [POWERGRID])
611737",Chhattisgarh,"05/2022
(05/2022)","NA
(08/2023)
(10/2025)","385.84
(-)",385.84
8,"Transmission system strengthening scheme for evacuation of power from solar
energy zones in Rajasthan 8.1 GW under Phase II- Part- G1
(Power Grid Corporation of India Limited [POWERGRID])
608301",Delhi,"02/2022
(02/2022)","11/2025
(09/2023)
(12/2025)","359.47
(-)",359.47
9,"Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under
Phase II- Part B
(Power Grid Corporation of India Limited [POWERGRID])
611656",Gujarat,"03/2023
(03/2023)","12/2025
(03/2025)
(12/2025)","1167.55
(1167)",1167
10,"Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2
TRANSMISSION SYSTEM LIMITED
(Power Grid Corporation of India Limited [POWERGRID])
611660",Gujarat,"03/2023
(03/2023)","12/2025
(12/2024)
(11/2025)","966.79
(-)",966.79
11,"Transmission system for evacuation of Power from Pakaldul HEP in Chenab
Valley HEPs - LTA System
(Power Grid Corporation of India Limited [POWERGRID])
608302",Jammu and Kashmir,"02/2022
(02/2022)","11/2025
(04/2025)
(11/2025)","318.12
(-)",318.12
12,"Transmission System Strengthening Scheme for evacuation of power from SEZ
in Rajasthan 8.1 GW under Phase II Part G
(Power Grid Corporation of India Limited [POWERGRID])
608922","Multi-States (Delhi,
Haryana, Rajasthan)","05/2022
(05/2022)","NA
(11/2023)
(12/2025)","1666
(2218)",2218
13,"Transmission System for Strengthening of Srinagar-Leh Tr. System
(Power Grid Corporation of India Limited [POWERGRID])
606781","Multi-States (Jammu
and Kashmir, Ladakh)","03/2022
(03/2022)","11/2025
(12/2024)
(11/2025)","288.71
(-)",288.71
,Total (7),,,,5152.48,5703.93
