Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
455,"CGD Project in Malda, Birbhum, Murshidabad, Dakshin Dinajpur GA ID 11A.03
(Hindustan Petroleum Corporation Limited)
(709758)",West Bengal,"06/2022
(06/2022)","06/2030
(06/2030)","2628
(2628)",371.77,32
456,"City Gas Distribution Project at East Mednipore, West Mednipore & Jhargram Districts
(MinistryofPetroleumNaturalGas)
(709772)",West Bengal,"03/2022
(03/2022)","06/2031
(06/2031)","609
(609)",61.31,2
457,"City Gas Distribution Projects at Alipurduar and Cooch Behar
(Bharat Petroleum Corporation Limited [BPCL])
(709791)",West Bengal,"12/2022
(12/2022)","03/2030
(03/2030)","1017
(1017)",216.59,42
,Total (93),,,,353598.97,191043.75,
,Ministry of Health & Family Welfare,,,,,,
,Healthcare,,,,,,
458,"AIIMS Darbhanga
(PMSSY AND Institute of NATIONAL Importance)
(701172)",Bihar,"NA
(09/2020)","09/2024
(-)","1264
(1264)",0,0
459,"Establishment of new GMC Jamui
(Medical Education, Ministry of Health and Family Welfare)
(707020)",Bihar,"03/2019
(10/2022)","10/2025
(-)","250
(500)",86.21,29
460,"Establishment of new GMC Korba
(Medical Education, Ministry of Health and Family Welfare)
(707044)",Chhattisgarh,"02/2023
(10/2023)","12/2026
(-)","325
(322.85)",158.49,45
461,"Establishment of new GMC Mahasamund
(Medical Education, Ministry of Health and Family Welfare)
(707045)",Chhattisgarh,"10/2023
(10/2023)","05/2026
(-)","325
(325)",302.5,75
462,"Establishment of new GMC Kanker
(Medical Education, Ministry of Health and Family Welfare)
(707046)",Chhattisgarh,"02/2020
(09/2024)","03/2027
(-)","325
(325)",20,48
463,"Setting up IT Infrastructure including Network Security and Hosting at AIIMS, New
Delhi
(PMSSY AND Institute of NATIONAL Importance)
(617882)",Delhi,"09/2025
(09/2025)","09/2026
(-)","358.19
(358.19)",0,0
464,"Redevelopment of Residential colonies at Ayur Vigyan Nagar and West Ansari Nagar
campuses of AIIMS, New Delhi
(PMSSY AND Institute of NATIONAL Importance)
(617883)",Delhi,"10/2016
(06/2022)","06/2027
(-)","4441
(4441)",24.68,61
465,"AIIMS Rajkot
(PMSSY AND Institute of NATIONAL Importance)
(701170)",Gujarat,"01/2019
(01/2019)","03/2026
(03/2026)","1195
(1195)",775.1,93
466,"Establishment of new GMC Panchmahal
(Medical Education, Ministry of Health and Family Welfare)
(707049)",Gujarat,"09/2022
(09/2022)","03/2026
(-)","325
(663.5)",425.34,33
467,"Establishment of new GMC Porbandar
(Medical Education, Ministry of Health and Family Welfare)
(707050)",Gujarat,"04/2022
(10/2022)","09/2024
(-)","325
(618.98)",918.64,62
468,"AIIMS Majra Rewari Haryana
(PMSSY AND Institute of NATIONAL Importance)
(701173)",Haryana,"02/2019
(02/2019)","12/2026
(12/2026)","1299
(1646.43)",529.46,51
469,"AIIMS Kashmir at Awantipora Jammu & Kashmir
(PMSSY AND Institute of NATIONAL Importance)
(701167)","Jammu and
Kashmir","01/2019
(03/2019)","12/2025
(06/2026)","1828
(2160.84)",1504.97,73
470,"Establishment of new GMC Koderma
(Medical Education, Ministry of Health and Family Welfare)
(707021)",Jharkhand,"09/2023
(02/2024)","08/2026
(-)","250
(504.8)",255,26
471,"Establishment of new GMC Chaibasa [Singhbhum]
(Medical Education, Ministry of Health and Family Welfare)
(707022)",Jharkhand,"06/2018
(03/2023)","09/2025
(-)","250
(454.1)",5,42
472,"Establishment of new GMC Rajgarh
(Medical Education, Ministry of Health and Family Welfare)
(707058)",Madhya Pradesh,"12/2021
(11/2022)","04/2024
(-)","325
(325)",158,62
473,"Establishment of new GMC Mandla
(Medical Education, Ministry of Health and Family Welfare)
(707059)",Madhya Pradesh,"08/2023
(10/2023)","04/2026
(-)","325
(325)",63.41,35
474,"Establishment of new GMC Kapurthala
(Medical Education, Ministry of Health and Family Welfare)
(707069)",Punjab,"11/2019
(07/2027)","12/2028
(-)","325
(550)",0,0
475,"Establishment of new GMC Hoshiarpur
(Medical Education, Ministry of Health and Family Welfare)
(707070)",Punjab,"01/2020
(03/2026)","12/2028
(-)","325
(374.75)",0,0
476,"Establishment of new GMC Gangtok
(Medical Education, Ministry of Health and Family Welfare)
(707039)",Sikkim,"10/2018
(12/2018)","12/2026
(-)","250
(635.21)",645.21,88
477,"ALL India Institute of Medical Sciences-AIIMS Madurai
(PMSSY AND Institute of NATIONAL Importance)
(701168)",Tamil Nadu,"12/2018
(12/2018)","08/2022
(10/2026)","1264
(2021.51)",387.07,46
478,"AIIMS Bibinagar
(PMSSY AND Institute of NATIONAL Importance)
(701171)",Telangana,"12/2018
(07/2022)","06/2026
(06/2026)","1028
(1365.95)",947.53,86
479,"Establishment of new GMC Rudrapur
(Medical Education, Ministry of Health and Family Welfare)
(707086)",Uttarakhand,"10/2022
(02/2024)","12/2026
(-)","325
(325)",261,30
480,"Establishment of new GMC Pithoragarh
(Medical Education, Ministry of Health and Family Welfare)
(707087)",Uttarakhand,"08/2021
(04/2023)","12/2026
(-)","325
(768.89)",313.08,70
,Total (23),,,,17252.19,7780.69,
,Ministry of Labour and Employment,,,,,,
,Healthcare,,,,,,
481,"Construction of 350 beds + 50 Super Specialty beds ESIC Hospital Sheelanagar,
Visakhapatnam, Andhra Pradesh
(Employee's State Insurance Company [ESIC])
(612167)",Andhra Pradesh,"02/2021
(04/2023)","10/2025
(03/2026)","384.27
(384.27)",167.37,70
