Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
,Department of Telecommunications,,,,
,Telecommunication,,,,
1,"Mobile connectivity in Left Wing Extremism [LWE] affected areas-Phase 1 Upgradation
(Department of Telecommunications [DoT])
(617413)","Multi-States (Andhra Pradesh,
Bihar, Chhattisgarh,
Jharkhand, Madhya Pradesh,
Maharashtra, Odisha,
Telangana, Uttar Pradesh,
West Bengal)","04/2022
(05/2024)","05/2025
(11/2025)","1884.6
(-)"
,Total (1),,,,1884.6
,"Department of Water Resources, River Development & GR",,,,
,Water Resources,,,,
2,"Bodwad Parisar Sinchan Yojna
(Department of Water Resources-MH)
(617422)",Maharashtra,"05/2002
(01/2017)","07/2027
(-)","1923.81
(-)"
,Total (1),,,,1923.81
,Ministry of Coal,,,,
,Coal,,,,
3,"Revised Jharia Master Plan for Dealing with Fire, Subsidence & Rehabilitation of
affected families in Jharia Coalfield- Reg.
(Bharat Coking Coal Limited (BCCL))
(617416)",Jharkhand,"06/2025
(07/2025)","12/2028
(-)","5940.47
(-)"
,Total (1),,,,5940.47
,Ministry of Housing & Urban Affairs,,,,
,Construction,,,,
4,"Construction of One Tower of Office Complex and another Tower of Residential
quarters consisting of 10Nos. Type-V, 10Nos. Type-VI & 1No.Type-VII Quarters i/c
internal water supply, sanitary installation and all development and bulk services,
Horticulture works on EPC Mode-I basis i/c comprehensive operation and
maintenance of Civil, E&M services for 7 years after completion of original construction
work for Ranga Reddy, Secunderabad, Medchal, AuditI, Audit-II Commissionerates of
Central Tax at Khajaguda, Serilingampally, Hyderabad.
(Central Public Works Department - CPWD)
(617412)",Telangana,"03/2024
(11/2024)","09/2027
(-)","644
(-)"
,Total (1),,,,644
,Urban Public Transport,,,,
5,"Thane Integral Ring Metro Rail Project
(Maharashtra Metro Rail Corporation Limited [MMRCL])
(617327)",Maharashtra,"09/2024
(09/2024)","09/2029
(-)","12200.1
(-)"
,Total (1),,,,12200.1
,"Ministry of Ports, Shipping and Waterways",,,,
,Inland Waterways,,,,
6,"Fairway Development in West Bengal Farakka - Kahelgaon
(Inland Waterways Authority of India [IWAI])
(611142)",Offshore,(08/2018),"07/2023
(04/2024)","177
(197)"
,Total (1),,,,177
,Logistics Infrastructure,,,,
7,"Replacement and revamping of pipeline projects in oil jetty area, Kandla
(Deendayal Port Trust [DPT])
(701570)",Gujarat,(09/2021),"09/2023
(03/2025)","171
(211.61)"
,Total (1),,,,171
,Oil & Gas,,,,
8,"Construction of oil jetty No.8 at old kandla through internal resources
(Deendayal Port Trust [DPT])
(701568)",Gujarat,(02/2021),"02/2023
(07/2024)","100
(225.85)"
,Total (1),,,,100
,Shipping,,,,
9,"Construction of new dry dock at exisitng Cochin Shipyard Limited premises at
Perumanoor, Kochi 682 015
(Cochin Shipyard)
(701564)",Kerala,"04/2018
(05/2018)","12/2022
(03/2025)","1799
(-)"
10,"Rewas Port Project
(Reliance Industries Ltd)
(400382)",Maharashtra,(01/2020),"03/2023
(-)","6000
(-)"
,Total (2),,,,7799
,Ministry of Power,,,,
,Transmission & Distribution,,,,
11,"North Eastern Region Expansion Scheme-XXIII [NERES-XXIII]
(Power Grid Corporation of India Limited [POWERGRID])
(617375)",Arunachal Pradesh,"08/2025
(08/2025)","02/2028
(-)","209.38
(-)"
12,"Augmentation of Transformation Capacity at Bhuj-II PS [GIS]
(Power Grid Corporation of India Limited [POWERGRID])
(617391)",Gujarat,"02/2025
(02/2025)","11/2026
(03/2027)","488.29
(-)"
13,"Jamnagar Transmission Limited
(Adani Transmission Limited)
(617405)",Gujarat,(10/2024),"10/2026
(-)","4000
(-)"
14,"Implementation of Transmission Systems in the State of Jharkhand consisting of
400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy
Project
(Power Grid Corporation of India Limited [POWERGRID])
(617326)",Jharkhand,"02/2012
(02/2012)","03/2026
(-)","1842.25
(-)"
,Total (4),,,,6539.92
